Running total of all data acquisitions 
-DATA: mean of events per minute, standard deviation, variance, range -CONDITIONS: Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm) 
--- 0321_Hour3 --- DATA: 85.83333333333333, 9.124685583933823, 83.25988700564973, 49 --- CONDITIONS: 21, 02:53, N16, 16, Fair, CLR, 12.8, -1.7, , , 37%, NA, NA, 76.48, 1019.5, , ,
--- 0321_Hour4 --- DATA: 82.53333333333333, 8.53003997182334, 72.76158192090394, 38 --- CONDITIONS: 21, 04:53, N16, 16, Fair, CLR, 11.1, -1.1, 13.3, 11.1, 43%, NA, NA, 76.43, 1018.9, , ,
--- 0321_Hour5 --- DATA: 84.53333333333333, 8.403926980915825, 70.62598870056499, 38 --- CONDITIONS: 21, 05:53, N11, 16, Fair, CLR, 11.1, -1.1, , , 43%, NA, NA, 76.43, 1018.9, , ,
--- 0321_Hour6 --- DATA: 84.23333333333333, 9.750039837670316, 95.0632768361582, 42 --- CONDITIONS: 21, 05:53, N11, 16, Fair, CLR, 11.1, -1.1, , , 43%, NA, NA, 76.43, 1018.9, , ,
--- 0321_Hour7 --- DATA: 84.91666666666667, 7.594136155929934, 57.67090395480226, 32 --- CONDITIONS: 21, 06:53, N8, 16, Fair, CLR, 8.3, -1.1, , , 52%, 7.2, NA, 76.45, 1019.3, , ,
--- 0321_Hour8 --- DATA: 84.59016393442623, 14.406453471945976, 207.54590163934427, 103 --- CONDITIONS: 21, 08:53, N13G27, 16, Fair, CLR, 15, 0, , , 36%, NA, NA, 76.48, 1019.6, , ,
--- 0321_Hour9 --- DATA: 85.95, 8.565648777708018, 73.37033898305087, 36 --- CONDITIONS: 21, 09:53, N21, 16, Fair, CLR, 17.2, -0.6, , , 30%, NA, NA, 76.5, 1020.0, , ,
--- 0321_Hour10 --- DATA: 85.66666666666667, 9.59460771345766, 92.05649717514123, 50 --- CONDITIONS: 21, 09:53, N21, 16, Fair, CLR, 17.2, -0.6, , , 30%, NA, NA, 76.5, 1020.0, , ,
--- 0321_Hour11 --- DATA: 84.61666666666666, 9.445816339929737, 89.22344632768359, 44 --- CONDITIONS: 21, 10:53, N19G34, 16, Fair, CLR, 18.3, 0.6, 18.3, 6.7, 31%, NA, NA, 76.5, 1019.8, , ,
--- 0321_Hour12 --- DATA: 85.13333333333334, 8.999937225142027, 80.99887005649718, 40 --- CONDITIONS: 21, 11:53, NE21G27, 16, Fair, CLR, 20.6, 0.6, , , 26%, NA, NA, 76.48, 1019.6, , ,
--- 0321_Hour13 --- DATA: 82.48333333333333, 9.158661116469354, 83.88107344632768, 44 --- CONDITIONS: 21, 12:53, N13, 16, Fair, CLR, 20.6, -0.6, , , 24%, NA, NA, 76.45, 1019.1, , ,
--- 0321_Hour14 --- DATA: 83.7, 11.49104293772372, 132.04406779661016, 49 --- CONDITIONS: 21, 13:53, NW24G45, 16, Fair, CLR, 21.1, 0, , , 25%, NA, NA, 76.4, 1018.4, , ,
--- 0321_Hour15 --- DATA: 85.55737704918033, 15.11348690206194, 228.41748633879783, 108 --- CONDITIONS: 21, 14:53, N27G50, 16, Fair, CLR, 22.2, -4.4, , , 17%, NA, NA, 76.35, 1018.0, , ,
--- 0321_Hour16 --- DATA: 86.23333333333333, 8.057771628423035, 64.92768361581922, 35 --- CONDITIONS: 21, 15:53, N32G40, 16, A Few Clouds, FEW050, 21.7, -2.8, , , 19%, NA, NA, 76.35, 1017.9, , ,
--- 0321_Hour17 --- DATA: 84.98333333333333, 9.173454087038625, 84.15225988700566, 49 --- CONDITIONS: 21, 17:53, N27G45, 16, Fair, CLR, 20, -2.2, , , 22%, NA, NA, 76.35, 1018.0, , ,
--- 0321_Hour18 --- DATA: 84.61666666666666, 7.678037502318261, 58.95225988700565, 33 --- CONDITIONS: 21, 18:53, Vrbl5, 16, Fair, CLR, 17.2, 1.7, , , 35%, NA, NA, 76.4, 1018.5, , ,
--- 0321_Hour19 --- DATA: 81.95081967213115, 13.541819461096795, 183.38087431693987, 102 --- CONDITIONS: 21, 19:53, W16, 16, Fair, CLR, 14.4, 5, , , 53%, NA, NA, 76.43, 1019.0, , ,
--- 0321_Hour20 --- DATA: 83.11666666666666, 9.220632109415012, 85.02005649717513, 42 --- CONDITIONS: 21, 20:53, NW13, 16, Fair, CLR, 13.9, 3.9, , , 51%, NA, NA, 76.48, 1019.6, , ,
--- 0321_Hour21 --- DATA: 82.35, 9.897482987685578, 97.96016949152543, 54 --- CONDITIONS: 21, 20:53, NW13, 16, Fair, CLR, 13.9, 3.9, , , 51%, NA, NA, 76.48, 1019.6, , ,
--- 0321_Hour22 --- DATA: 84.5, 7.915871205947741, 62.66101694915254, 36 --- CONDITIONS: 21, 14:53, N27G50, 16, Fair, CLR, 22.2, -4.4, , , 17%, NA, NA, 76.35, 1018.0, , ,
--- 0321_Hour23 --- DATA: 84.15, 9.897482987685578, 97.96016949152543, 47 --- CONDITIONS: 21, 23:53, N16, 16, Fair, CLR, 12.2, 0.6, , , 45%, NA, NA, 76.53, 1020.2, , ,
--- 0321_Hour24 --- DATA: 83.68333333333334, 8.751739133058487, 76.59293785310733, 40 --- CONDITIONS: 21, 23:53, N16, 16, Fair, CLR, 12.2, 0.6, , , 45%, NA, NA, 76.53, 1020.2, , ,
--- 0322_Hour1 --- DATA: 83.13333333333334, 8.222471620384141, 67.6090395480226, 45 --- CONDITIONS: 21, 23:53, N16, 16, Fair, CLR, 12.2, 0.6, , , 45%, NA, NA, 76.53, 1020.2, , ,
--- 0322_Hour2 --- DATA: 83.85, 7.539331895050701, 56.8415254237288, 37 --- CONDITIONS: 22, 01:53, N23, 16, Fair, CLR, 13.9, -0.6, , , 37%, NA, NA, 76.5, 1019.9, , ,
--- 0322_Hour3 --- DATA: 85.36666666666666, 9.623359057419743, 92.6090395480226, 45 --- CONDITIONS: 22, 03:53, N26, 16, Fair, CLR, 12.2, 0.6, , , 45%, NA, NA, 76.43, 1018.9, , ,
--- 0322_Hour4 --- DATA: 83.68333333333334, 9.424978832268037, 88.83022598870058, 48 --- CONDITIONS: 22, 04:53, W10, 16, Fair, CLR, 11.1, -0.6, 16.1, 10, 45%, NA, NA, 76.4, 1018.7, , ,
--- 0322_Hour5 --- DATA: 83.91666666666667, 6.9044119195484175, 47.67090395480226, 28 --- CONDITIONS: 22, 05:53, W8, 16, Fair, CLR, 11.7, 2.2, , , 52%, NA, NA, 76.45, 1019.1, , ,
--- 0322_Hour6 --- DATA: 84.3, 8.17043035606998, 66.75593220338983, 40 --- CONDITIONS: 22, 04:53, W10, 16, Fair, CLR, 11.1, -0.6, 16.1, 10, 45%, NA, NA, 76.4, 1018.7, , ,
--- 0322_Hour7 --- DATA: 85.11666666666666, 9.950882196929836, 99.02005649717515, 47 --- CONDITIONS: 22, 07:53, W13, 16, Fair, CLR, 12.2, 2.8, , , 53%, NA, NA, 76.45, 1019.3, , ,
--- 0322_Hour8 --- DATA: 86.85, 9.013784171187247, 81.24830508474575, 40 --- CONDITIONS: 22, 07:53, W13, 16, Fair, CLR, 12.2, 2.8, , , 53%, NA, NA, 76.45, 1019.3, , ,
--- 0322_Hour9 --- DATA: 85.33333333333333, 9.289444833289794, 86.29378531073446, 53 --- CONDITIONS: 22, 08:53, W13, 16, Fair, CLR, 15, 2.8, , , 44%, NA, NA, 76.48, 1019.7, , ,
--- 0322_Hour10 --- DATA: 85.31666666666666, 9.287300727458966, 86.25395480225986, 40 --- CONDITIONS: 21, 17:53, N27G45, 16, Fair, CLR, 20, -2.2, , , 22%, NA, NA, 76.35, 1018.0, , ,
--- 0322_Hour11 --- DATA: 83.8, 8.840967812655284, 78.16271186440677, 46 --- CONDITIONS: 22, 11:53, W13, 16, Fair, CLR, 19.4, 3.3, , , 35%, NA, NA, 76.48, 1019.6, , ,
--- 0322_Hour12 --- DATA: 81.55737704918033, 13.770166532718397, 189.6174863387978, 104 --- CONDITIONS: 22, 11:53, W13, 16, Fair, CLR, 19.4, 3.3, , , 35%, NA, NA, 76.48, 1019.6, , ,
--- 0322_Hour13 --- DATA: 83.0, 9.377217251926634, 87.9322033898305, 42 --- CONDITIONS: 22, 13:53, W16, 16, Fair, CLR, 21.1, 7.2, , , 41%, NA, NA, 76.33, 1017.7, , ,
--- 0322_Hour14 --- DATA: 83.1, 9.114525564788682, 83.07457627118644, 37 --- CONDITIONS: 22, 14:53, W26G35, 16, Fair, CLR, 21.1, 6.7, , , 39%, NA, NA, 76.25, 1016.6, , ,
--- 0322_Hour15 --- DATA: 83.28333333333333, 7.872052403252154, 61.969209039548026, 36 --- CONDITIONS: 22, 14:53, W26G35, 16, Fair, CLR, 21.1, 6.7, , , 39%, NA, NA, 76.25, 1016.6, , ,
--- 0322_Hour16 --- DATA: 83.21666666666667, 8.940654938787386, 79.93531073446327, 41 --- CONDITIONS: 22, 16:53, SW26, 16, Fair, CLR, 17.8, 7.2, 21.7, 17.2, 50%, NA, NA, 76.15, 1015.1, , ,
--- 0322_Hour17 --- DATA: 83.25, 8.428412400518875, 71.03813559322033, 43 --- CONDITIONS: 22, 16:53, SW26, 16, Fair, CLR, 17.8, 7.2, 21.7, 17.2, 50%, NA, NA, 76.15, 1015.1, , ,
--- 0322_Hour18 --- DATA: 83.11666666666666, 9.133829216609652, 83.42683615819209, 40 --- CONDITIONS: 22, 16:53, SW26, 16, Fair, CLR, 17.8, 7.2, 21.7, 17.2, 50%, NA, NA, 76.15, 1015.1, , ,
--- 0322_Hour19 --- DATA: 83.5, 7.779808720580061, 60.52542372881356, 42 --- CONDITIONS: 22, 18:53, NW24, 16, Fair, CLR, 16.1, 5.6, , , 50%, NA, NA, 76.12, 1014.9, , ,
--- 0322_Hour20 --- DATA: 82.55, 10.65391628479358, 113.50593220338982, 39 --- CONDITIONS: 22, 19:53, N29G48, 16, Fair, CLR, 16.1, 3.9, , , 44%, NA, NA, 76.2, 1015.8, , ,
--- 0322_Hour21 --- DATA: 84.63333333333334, 9.04783271486372, 81.86327683615818, 45 --- CONDITIONS: 22, 20:53, N16, 16, Fair, CLR, 13.9, 4.4, , , 53%, NA, NA, 76.2, 1015.8, , ,
--- 0322_Hour22 --- DATA: 83.78333333333333, 10.035684916905893, 100.71497175141243, 43 --- CONDITIONS: 22, 22:53, NW27, 16, Fair, CLR, 12.2, 6.1, 20, 12.2, 67%, NA, NA, 76.2, 1015.8, , ,
--- 0322_Hour23 --- DATA: 86.56666666666666, 8.565533350698072, 73.36836158192092, 37 --- CONDITIONS: 22, 22:53, NW27, 16, Fair, CLR, 12.2, 6.1, 20, 12.2, 67%, NA, NA, 76.2, 1015.8, , ,
--- 0322_Hour24 --- DATA: 85.29508196721312, 14.668951635222701, 215.17814207650275, 112 --- CONDITIONS: 22, 22:53, NW27, 16, Fair, CLR, 12.2, 6.1, 20, 12.2, 67%, NA, NA, 76.2, 1015.8, , ,
--- 0323_Hour1 --- DATA: 84.03333333333333, 6.519765688486693, 42.50734463276836, 33 --- CONDITIONS: 23, 00:53, N19, 16, Fair, CLR, 11.7, 6.7, , , 72%, NA, NA, 76.15, 1015.2, , ,
--- 0323_Hour2 --- DATA: 83.45, 9.298122646306766, 86.45508474576273, 46 --- CONDITIONS: 23, 01:53, Calm, 16, Partly Cloudy, SCT026, 11.1, 6.1, , , 72%, NA, NA, 76.1, 1014.6, , ,
--- 0323_Hour3 --- DATA: 85.15, 9.895770368518091, 97.92627118644069, 41 --- CONDITIONS: 23, 03:53, E8, 16, Fair, CLR, 10.6, 6.1, , , 74%, NA, NA, 76, 1013.2, , ,
--- 0323_Hour4 --- DATA: 81.26229508196721, 14.630905234405084, 214.0633879781421, 102 --- CONDITIONS: 23, 04:53, Vrbl8, 16, Fair, CLR, 10.6, 5, 12.8, 9.4, 69%, NA, NA, 75.97, 1012.7, , ,
--- 0323_Hour5 --- DATA: 83.78333333333333, 10.322087009223894, 106.5454802259887, 51 --- CONDITIONS: 23, 04:53, Vrbl8, 16, Fair, CLR, 10.6, 5, 12.8, 9.4, 69%, NA, NA, 75.97, 1012.7, , ,
--- 0323_Hour6 --- DATA: 84.86666666666666, 9.560630194579963, 91.40564971751411, 50 --- CONDITIONS: 23, 05:53, N21G35, 16, Fair, CLR, 11.1, 4.4, , , 64%, NA, NA, 75.95, 1012.6, , ,
--- 0323_Hour7 --- DATA: 86.05, 7.447955014519428, 55.47203389830509, 37 --- CONDITIONS: 23, 06:53, Calm, 16, Fair, CLR, 10, 5, , , 71%, NA, NA, 75.97, 1012.6, , ,
--- 0323_Hour8 --- DATA: 87.86666666666666, 9.599552720277051, 92.15141242937854, 41 --- CONDITIONS: 23, 07:53, NW8, 16, Fair, CLR, 10.6, 5, , , 69%, NA, NA, 75.97, 1012.9, , ,
--- 0323_Hour9 --- DATA: 83.85, 8.670669436357048, 75.18050847457627, 37 --- CONDITIONS: 23, 08:53, N11, 16, Fair, CLR, 14.4, 4.4, , , 51%, NA, NA, 76.02, 1013.3, , ,
--- 0323_Hour10 --- DATA: 85.51666666666667, 8.38782747304176, 70.35564971751413, 36 --- CONDITIONS: 23, 09:53, W13, 16, Fair, CLR, 15, 5, , , 51%, NA, NA, 76.02, 1013.4, , ,
--- 0323_Hour11 --- DATA: 85.66666666666667, 9.338578026017803, 87.20903954802257, 48 --- CONDITIONS: 23, 10:53, W19, 16, Partly Cloudy, SCT060, 17.2, 5, 17.2, 9.4, 45%, NA, NA, 76, 1013.2, , ,
--- 0323_Hour12 --- DATA: 84.73333333333333, 8.86024575292694, 78.50395480225987, 40 --- CONDITIONS: 23, 11:53, Vrbl8, 16, A Few Clouds, FEW060, 17.8, 4.4, , , 41%, NA, NA, 76, 1013.1, , ,
--- 0323_Hour13 --- DATA: 87.25, 10.711351494907523, 114.73305084745763, 44 --- CONDITIONS: 23, 11:53, Vrbl8, 16, A Few Clouds, FEW060, 17.8, 4.4, , , 41%, NA, NA, 76, 1013.1, , ,
--- 0323_Hour14 --- DATA: 85.53333333333333, 8.306555848033357, 68.99887005649717, 39 --- CONDITIONS: 23, 14:53, NW21G45, 16, A Few Clouds, FEW080, 21.7, 1.7, , , 27%, NA, NA, 75.82, 1010.9, , ,
--- 0323_Hour15 --- DATA: 84.5, 10.514719303619014, 110.55932203389831, 45 --- CONDITIONS: 23, 14:53, NW21G45, 16, A Few Clouds, FEW080, 21.7, 1.7, , , 27%, NA, NA, 75.82, 1010.9, , ,
--- 0323_Hour16 --- DATA: 84.06666666666666, 8.894612093497123, 79.11412429378528, 37 --- CONDITIONS: 23, 14:53, NW21G45, 16, A Few Clouds, FEW080, 21.7, 1.7, , , 27%, NA, NA, 75.82, 1010.9, , ,
--- 0323_Hour17 --- DATA: 85.61666666666666, 10.504384341572818, 110.3420903954802, 53 --- CONDITIONS: 23, 17:53, W29G40, 16, A Few Clouds, FEW060, 17.8, 6.1, , , 46%, NA, NA, 75.82, 1010.6, , ,
--- 0323_Hour18 --- DATA: 87.31666666666666, 8.60723319521646, 74.08446327683616, 39 --- CONDITIONS: 23, 17:53, W29G40, 16, A Few Clouds, FEW060, 17.8, 6.1, , , 46%, NA, NA, 75.82, 1010.6, , ,
--- 0323_Hour19 --- DATA: 85.76666666666667, 8.017706393926447, 64.28361581920905, 33 --- CONDITIONS: 23, 19:53, NW13, 16, Fair, CLR, 14.4, 3.9, , , 50%, NA, NA, 75.95, 1012.5, , ,
--- 0323_Hour20 --- DATA: 85.48333333333333, 8.514178935038487, 72.49124293785312, 40 --- CONDITIONS: 23, 18:53, W23G37, 16, Fair, CLR, 15.6, 5, , , 50%, NA, NA, 75.9, 1011.6, , ,
--- 0323_Hour21 --- DATA: 83.11666666666666, 9.12268854711612, 83.22344632768362, 40 --- CONDITIONS: 23, 20:53, N11, 16, Fair, CLR, 13.3, 2.8, , , 49%, NA, NA, 76.02, 1013.3, , ,
--- 0323_Hour22 --- DATA: 82.55, 8.355298734883903, 69.81101694915253, 39 --- CONDITIONS: 23, 22:53, N8, 16, Fair, CLR, 10.6, 1.7, 18.3, 10, 54%, NA, NA, 76.12, 1014.8, , ,
--- 0323_Hour23 --- DATA: 82.45901639344262, 13.907520472142405, 193.4191256830601, 103 --- CONDITIONS: 23, 23:53, E11, 16, Fair, CLR, 13.3, 0, , , 40%, NA, NA, 76.15, 1015.1, , ,
--- 0323_Hour24 --- DATA: 85.33333333333333, 8.960679958057561, 80.29378531073446, 35 --- CONDITIONS: 24, 00:53, N13, 16, Fair, CLR, 11.1, 0.6, , , 49%, NA, NA, 76.15, 1015.1, , ,
--- 0324_Hour1 --- DATA: 86.25, 10.07703379817154, 101.54661016949153, 46 --- CONDITIONS: 24, 01:53, N24, 16, Fair, CLR, 15, -0.6, , , 35%, NA, NA, 76.1, 1014.4, , ,
--- 0324_Hour2 --- DATA: 84.01666666666667, 9.421381500530115, 88.7624293785311, 45 --- CONDITIONS: 24, 01:53, N24, 16, Fair, CLR, 15, -0.6, , , 35%, NA, NA, 76.1, 1014.4, , ,
--- 0324_Hour3 --- DATA: 84.28333333333333, 9.591825026794055, 92.00310734463278, 37 --- CONDITIONS: 24, 03:53, Calm, 16, Fair, CLR, 9.4, 1.1, , , 56%, NA, NA, 76.1, 1014.6, , ,
--- 0324_Hour4 --- DATA: 85.16666666666667, 10.872398058755142, 118.20903954802259, 53 --- CONDITIONS: 24, 03:53, Calm, 16, Fair, CLR, 9.4, 1.1, , , 56%, NA, NA, 76.1, 1014.6, , ,
--- 0324_Hour5 --- DATA: 86.46666666666667, 9.437513796899408, 89.06666666666666, 50 --- CONDITIONS: 24, 05:53, W5, 16, Fair, CLR, 6.7, 0.6, , , 65%, NA, NA, 76.15, 1015.2, , ,
--- 0324_Hour6 --- DATA: 85.26666666666667, 10.871930373972102, 118.19887005649717, 54 --- CONDITIONS: 24, 06:53, Calm, 16, Fair, CLR, 5.6, 0.6, , , 71%, NA, NA, 76.17, 1015.5, , ,
--- 0324_Hour7 --- DATA: 85.06666666666666, 9.702116956949533, 94.13107344632768, 49 --- CONDITIONS: 24, 07:53, Calm, 16, Fair, CLR, 8.3, 1.7, , , 63%, NA, NA, 76.2, 1015.9, , ,
--- 0324_Hour8 --- DATA: 86.61666666666666, 9.262813693156325, 85.7997175141243, 52 --- CONDITIONS: 24, 08:53, Calm, 16, Fair, CLR, 13.9, 3.3, , , 49%, NA, NA, 76.25, 1016.4, , ,
--- 0324_Hour9 --- DATA: 85.13333333333334, 10.212100942005886, 104.28700564971751, 45 --- CONDITIONS: 24, 09:53, E10, 16, Fair, CLR, 16.1, 2.8, , , 41%, NA, NA, 76.25, 1016.6, , ,
--- 0324_Hour10 --- DATA: 84.55, 10.00410932516386, 100.08220338983051, 42 --- CONDITIONS: 24, 10:53, S13, 16, Fair, CLR, 16.1, 5, 17.2, 5, 48%, NA, NA, 76.28, 1016.7, , ,
--- 0324_Hour11 --- DATA: 81.9672131147541, 13.535099079941201, 183.19890710382515, 102 --- CONDITIONS: 24, 11:53, Vrbl10, 16, Fair, CLR, 17.8, 2.2, , , 35%, NA, NA, 76.25, 1016.6, , ,
--- 0324_Hour12 --- DATA: 84.75, 8.380010517367293, 70.22457627118644, 41 --- CONDITIONS: 24, 12:53, SW14, 16, Fair, CLR, 18.3, 1.7, , , 33%, NA, NA, 76.17, 1015.6, , ,
--- 0324_Hour13 --- DATA: 84.91666666666667, 10.10167240167362, 102.04378531073446, 51 --- CONDITIONS: 24, 12:53, SW14, 16, Fair, CLR, 18.3, 1.7, , , 33%, NA, NA, 76.17, 1015.6, , ,
--- 0324_Hour14 --- DATA: 86.55, 10.23855293006267, 104.82796610169491, 44 --- CONDITIONS: 24, 13:53, SW19, 16, Fair, CLR, 17.8, 4.4, , , 41%, NA, NA, 76.15, 1015.0, , ,
--- 0324_Hour15 --- DATA: 86.45, 9.47507881993959, 89.7771186440678, 40 --- CONDITIONS: 24, 14:53, W29G37, 16, Fair, CLR, 18.9, -0.6, , , 27%, NA, NA, 76.1, 1014.4, , ,
--- 0324_Hour16 --- DATA: 84.05, 9.819429028241814, 96.42118644067797, 44 --- CONDITIONS: 24, 16:53, W27G37, 16, Fair, CLR, 16.1, 5, 19.4, 16.1, 48%, NA, NA, 75.97, 1012.9, , ,
--- 0324_Hour17 --- DATA: 86.28333333333333, 10.35978480678715, 107.32514124293786, 48 --- CONDITIONS: 24, 17:53, W24G39, 16, Fair, CLR, 16.1, 4.4, , , 46%, NA, NA, 75.92, 1012.1, , ,
--- 0324_Hour18 --- DATA: 85.03333333333333, 9.721488807418767, 94.50734463276837, 44 --- CONDITIONS: 24, 17:53, W24G39, 16, Fair, CLR, 16.1, 4.4, , , 46%, NA, NA, 75.92, 1012.1, , ,
--- 0324_Hour19 --- DATA: 86.78333333333333, 9.03494471420277, 81.63022598870056, 36 --- CONDITIONS: 24, 19:53, SW5, 16, Fair, CLR, 12.8, 3.9, , , 55%, NA, NA, 75.95, 1012.4, , ,
--- 0324_Hour20 --- DATA: 82.03333333333333, 9.38799570072527, 88.13446327683616, 44 --- CONDITIONS: 24, 20:53, Calm, 16, Fair, CLR, 11.7, 5.6, , , 66%, NA, NA, 75.95, 1012.3, , ,
--- 0324_Hour21 --- DATA: 86.18333333333334, 9.32918087611174, 87.03361581920903, 43 --- CONDITIONS: 24, 21:53, Calm, 16, Fair, CLR, 9.4, 5.6, , , 77%, NA, NA, 75.92, 1012.1, , ,
